Name,SamAccountName,Description,CanonicalName
Administrator,control,Built-in account for administering the computer/domain,BBC.Local/Users/Administrator
"Charter, Backup",charterbkupexec,"Charter, Backup","BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Charter, Backup"
sa_arcsight,sa_arcsight,,BBC.Local/Datacenter/Service Accounts/BAE Systems/sa_arcsight
awsbackup,awsbackup,Used by the storage Gateway for backups,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/awsbackup
SCCMSQLsvc,SCCMSQLsvc,SCCM SQL Service account,BBC.Local/Datacenter/Service Accounts/SCCMSQLsvc
SCCMRpt,SCCMRpt,SCCM Reporting,BBC.Local/Datacenter/Service Accounts/SCCMRpt
DFW Training Laptops,dfwtraininglaptops,9th floor training laptops,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/DFW Training Laptops
MarketingScan,MarketingScan,Profile for Marketing Dept. Scanner Computer,BBC.Local/BalfourBeattyUS/Florida/_Orlando Office/MarketingScan
sescanner,sescanner,AccT for Scan Router (DO NOT CHANGE PW),BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/sescanner
WASBackup,WASBackup,Backup Exec Account for Washington,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/Users/WASBackup
DFW Audit Room,dfwauditroom,6th floor audit room 6,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/DFW Audit Room
CLT Conference Line,cltconferenceline,CLT Office Conference Line,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Conference Line
JBitService,JBitService,Jitterbit Integration Service Account,BBC.Local/Datacenter/Service Accounts/JBitService
"Plantation, Office",Office_Plantation,Plantation Office,"BBC.Local/BalfourBeattyUS/Florida/Florida Locations/Plantation, Office"
"Dallas Citymark, Office",Dallas_Citymark,Dallas Citymark Office,"BBC.Local/BalfourBeattyUS/DFW/DFW Locations/Dallas Citymark, Office"
"Orlando, Office",Office_Orlando,Orlando Office,"BBC.Local/BalfourBeattyUS/Florida/Florida Locations/Orlando, Office"
SMCBackup,SMCBackup,Veritas Backup Exec Service Account,BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/Houston/SMCBackup
JDEService,JDEService,JDEdwards Service Account,BBC.Local/Datacenter/Service Accounts/JDEService
EXArchive,EXArchive,Admin Account for Email Extender - Created 10/08/2007 Eddie Jacob,BBC.Local/Datacenter/Service Accounts/Retired Service Accounts/EXArchive
WASFax5520,WASFax5520,Fax Line Acct,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASFax5520
WASH WSH Conference Room,WashWSHConfRm,Washington Conf Room Calendar Acct,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH WSH Conference Room
WASFax5524,WASFax5524,Fax Line Acct,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASFax5524
HyperionLDAP,HyperionLDAP,Service account for Hyperion LDAP Queries (Secure-24),BBC.Local/Datacenter/Service Accounts/HyperionLDAP
"Charlotte, Office",Office_Charlotte,Charlotte Office,"BBC.Local/BalfourBeattyUS/Southeast/Southeast Locations/Charlotte, Office"
"Fairfax, Office",Office_Fairfax,Fairfax Office,"BBC.Local/BalfourBeattyUS/Washington/Washington Locations/Fairfax, Office"
SMCDNSUpdate,SMCDNSUpdate,Used by DHCP to dynamically update DNS,BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/System Users/SMCDNSUpdate
Video Conferencing Dallas CityMark II,VideoConfDallasCity,Video Conferencing Dallas CityMark II,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Dallas CityMark II
SAN Balboa Park,SANBalboaPark,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Balboa Park
SAN La Jolla,SANLaJolla,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN La Jolla
SAN The Cave,SANTheCave,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN The Cave
SAN Del Mar,SANDelMar,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Del Mar
Video Conferencing Plantation,VideoConfPlantation,Plantation Video Conferencing,BBC.Local/BalfourBeattyUS/Florida/Florida Resources/Video Conferencing Plantation
PLA Miami Dade Conference Room,plamiamiRM,Room 219 Miami Conference Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Plantation Rooms and Resources/PLA Miami Dade Conference Room
"ECopy, Plantation",PlantationECopy,Plantation ECopy Scanner Account,"BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/ECopy, Plantation"
FAU IVA Exec Room,FAUIVAExecRoom,Conference Room,BBC.Local/BalfourBeattyUS/Florida/Florida Resources/FAU IVA Exec Room
DPACScanner,DPACScanner,Scanner,BBC.Local/BalfourBeattyUS/Florida/Florida Jobsites/DPAC/DPACScanner
Video Conferencing Orlando,VideoConfOrlando,Orlando Video Conferencing,BBC.Local/BalfourBeattyUS/Florida/Florida Resources/Video Conferencing Orlando
PLA Training Room,platrainingRM,Room 343 Training Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Plantation Rooms and Resources/PLA Training Room
Buckhead Confrence Room A,BuckheadConfrenceRoo,Conference,BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/Buckhead Confrence Room A
HSW 4thDenny,HSW4thDenny,HSW 4thDenny,BBC.Local/BalfourBeattyUS/HSW/Regions/Generic Accounts/HSW 4thDenny
SAN War Room,SANWarRoom,SAN War Room,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN War Room
PLA Project Solutions Conference Room,PLAProjectSCR,confrence room for palntation,BBC.Local/BalfourBeattyUS/Florida/Florida Resources/PLA Project Solutions Conference Room
Metropolitan Park 4/5,MetropolitanPark45,Metropolitan Park 4/5,BBC.Local/BalfourBeattyUS/Washington/Washington Jobsites/Met Park/Metropolitan Park 4\/5
EvolveService,EvolveService,Service Account for Oscar Gomer,BBC.Local/BalfourBeattyUS/DFW/DFW Groups/EvolveService
"Houston, Scanner",HouScanner,Service Account,"BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/System Users/Houston, Scanner"
PlantationPSR,PlantationPSR,This is a user account for Plantation office BIM Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/PlantationPSR
CLT Founders Hall Large Conference Room,CLTFHallLrgeConfRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/CLT Founders Hall Large Conference Room
CLT Meeting Room South,CLTMeetingRmSouth,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Meeting Room South
Video Conferencing Charlotte,VideoConfCharlotte,CLT Office  Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing Charlotte
Video Conferencing Atlanta,VideoConfAtlanta,ATL Office Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/Video Conferencing Atlanta
CLT Shared Services Room,CLTSharedServicesRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Shared Services Room
Video Conferencing Raleigh,VideoConfRaleigh,RAL Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing Raleigh
Video Conferencing FtBliss,VideoConfFtBliss,FtBliss Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing FtBliss
CLT Barringer Training Room,CLTBarringerTrainRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Barringer Training Room
Video Conferencing FtCarson,VideoConfFtCarson,FtCarson Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing FtCarson
CLT Training Room,clttrainingroom,CLT Office Training Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Training Room
NMC Small Conference Room,NMCSmallConferenceRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/NMC Small Conference Room
CLT East Region Conference Room,CLTEastRegionConf,,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT East Region Conference Room
CLT Operations Room,CLTOpsRoom,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Operations Room
NMC Large Conference Room,NMCLargeConferenceRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/NMC Large Conference Room
CLT Founders Hall Small Conference Room,CLTFHallSmallConfRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/CLT Founders Hall Small Conference Room
CLT Conference Room,CLTConfRoom,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Conference Room
RAL Projector,RALProjector,RAL Office Projector,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/RAL Projector
CLT Virtual Construction Lab,CLTVirtualConstLab,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Virtual Construction Lab
CLT Meeting Room North,CLTMeetingRmNorth,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Meeting Room North
WASH South Carolina Room,WASHSouthCarolinaRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH South Carolina Room
Video Conferencing Fairfax,VideoConfFairfax,Fairfax Video Conferencing,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/Video Conferencing Fairfax
Video Conferencing Fairfax II,VideoConfFairfaxII,Fairfax Video Conferencing,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/Video Conferencing Fairfax II
WASH New York Room,WASHNewYorkRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH New York Room
WASH New Jersey Room,WASHNewJerseyRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH New Jersey Room
WASH Rhode Island Room,WASHRhodeIslandRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH Rhode Island Room
Fairfax Tablecloth,FairfaxTablecloth,Fairfax Tablecloth Calendar,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/Fairfax Tablecloth
Washington MPR Meetings,WashGPSMeetings,,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/Users/Washington MPR Meetings
WASH North Carolina Room,WASHNorthCarolinaRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH North Carolina Room
Video Conferencing Nashville,VideoConfNashville,Nashville Video Conferencing,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Nashville
Video Conferencing Portland,VideoConfPortland,Portland Video Conferencing,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Portland
Video Conferencing Austin,VideoConfAustin,Austin Video Conferencing,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Austin
DFW IACH Doublewide Room,DFWIACHDoublewideRm,IARH Resource Room mailbox,BBC.Local/BalfourBeattyUS/DFW/_DFW Jobsites/Archived Jobsites/Fort Riley/DFW IACH Doublewide Room
DFW Ops Conference line,DFWOpsConferenceline,DFW Ops Conference line,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/DFW Ops Conference line
DFW IACH QC Room,DFWIACHQCRoom,IARH Resource Room mailbox,BBC.Local/BalfourBeattyUS/DFW/_DFW Jobsites/Archived Jobsites/Fort Riley/DFW IACH QC Room
DFW DCCH Air Force One Room,DFWDCCHAirForceOneRm,DCCH,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/DFW DCCH Air Force One Room
"Audit, SDWDC",sdwdcaudit,,"BBC.Local/BalfourBeattyUS/Barnhart/Users/Jobsite Users/Audit, SDWDC"
sansqladmin,sansqladmin,,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/sansqladmin
"Victory North Parking Garage,",VictoryNorthPG,Plan Room PC,"BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/Victory North Parking Garage,"
SCCMIntune,SCCMIntune,SCCM Intune Connector,BBC.Local/Datacenter/Service Accounts/SCCMIntune
EgnyteORL1,EgnyteORL1,nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteORL1
EgnyteRALOffice,EgnyteRALOffice,NAs Admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteRALOffice
EgnyteFAI3,EgnyteFAI3,Nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteFAI3
EgnyteDAL1,EgnyteDAL1,nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteDAL1
EgnyteFAI1,EgnyteFAI1,Nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteFAI1
EgnyteFAI2,EgnyteFAI2,NAs Admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteFAI2
SCCMsvc,sccmsvc,SCCM Service Account,BBC.Local/Datacenter/Service Accounts/SCCMsvc
SCCMCliP,SCCMCliP,Used to push SCCM Client,BBC.Local/Datacenter/Service Accounts/SCCMCliP
SMC.Timberline,SMC.Timberline,do not delete - Timberline service account - needed for user access to timberline,BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/System Users/SMC.Timberline
OktaService,OktaService,SSO with Egnyte Account for James McPherson,BBC.Local/Datacenter/Service Accounts/OktaService
prologsa,prologsa,Prolog Service Account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/prologsa
DCNAS,DCNAS,Connects Egnyte ReadyNAS storage devices to Active Directory,BBC.Local/BalfourBeattyUS/BBC Groups/NAS/DCNAS
DirectifySVC,directifySVC,,BBC.Local/Datacenter/Service Accounts/DirectifySVC
ScanUserPHX,phxscanuser,,BBC.Local/BalfourBeattyUS/HSW/Regions/Phoenix/ScanUserPHX
"Connector, Aws",awsconnector,,"BBC.Local/Datacenter/Service Accounts/Service Accounts with Delegated Control/Connector, Aws"
awsadconnectsvc,awsadconnectsvc,JDE AWS Account Workspaces Directory user,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/awsadconnectsvc
SMC.KVM,SMC.KVM,Used for LDAP lookups by SMC KVMs,BBC.Local/BalfourBeattyUS/SpawMaxwell BBC/System Users/SMC.KVM
JDEBootStrap,JDEBootStrap,,BBC.Local/BalfourBeattyUS/BBII/BBII JDE Users/JDEBootStrap
JDE Package Build Daemon,_buildd,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Package Build Daemon
JDELDAP,JDELDAP,JDE AD Replication Account,BBC.Local/BalfourBeattyUS/BBII/BBII JDE Users/JDELDAP
JDE DAS Admin,dasadmin,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE DAS Admin
SEAHACEdash01,hacedash,Login for PDX50 users to access Dashboard Computer,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/SEAHACEdash01
AZSQLBUSVC,AZSQLBUSVC,Used to backup SQL from Azure Backup Server,BBC.Local/Datacenter/Service Accounts/AZSQLBUSVC
RIV Smart Screen,rivsmartscreen,This account needs full O365 license it is in use at job,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/RIV Smart Screen
JDE Proxy User Account,JDEPROXY,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Proxy User Account
JDE Deltek Integration,_JBITDTE,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Deltek Integration
TPG Lab,tpglab,Licensed in MS 3 test machines,BBC.Local/BalfourBeattyUS/Civils/Transit/Traction Power Supply/Users/TPG Lab
JobSiteRobo,jobsiterobo,Jobsite robocopy user,BBC.Local/BalfourBeattyUS/HSW/Service Accounts/JobSiteRobo
ProofPointSVC,ProofPointSVC,ProofPoint Threat Discover SVC account,BBC.Local/Datacenter/Service Accounts/ProofPointSVC
JDE Scheduler 69,_SCHED69,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Scheduler 69
JDE Scheduler 59,_SCHED59,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Scheduler 59
JDE Scheduler 56,_SCHED56,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Scheduler 56
JDE Scheduler 58,_SCHED58,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Scheduler 58
azsqldbeng,azsqldbeng,Azure SQL 2012 AO service account,BBC.Local/Datacenter/Service Accounts/azsqldbeng
JDE DomoIntegration Account,_JBITDOMO,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE DomoIntegration Account
JDE Monitoring Lambda,_e1monitorlambda,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Monitoring Lambda
EVPSQLsvc,EVPSQLsvc,HSW Viewpoint SQL service account,BBC.Local/Datacenter/Service Accounts/EVPSQLsvc
jitterbit,jitterbit,jitterbit,BBC.Local/Datacenter/Service Accounts/jitterbit
PDX 62 Digidocs Viewer,pdx62digi,,BBC.Local/BalfourBeattyUS/HSW/Regions/Generic Accounts/PDX 62 Digidocs Viewer
bprologweb,bprologweb,Prolog Service Account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/bprologweb
AWSSQL01svc,AWSSQL01svc,,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSSQL01svc
Estimating South West,EstimatingSW,NEEDS O365 LICENSE Account for Bid solicitations through HCSS - DO NOT DISABLE OR DELETE!,BBC.Local/BalfourBeattyUS/Civils/Southwest/Austin/Shared-Room Mailboxes/Estimating South West
SAN Torrey Pines,SANTorreyPines,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Torrey Pines
AWSPRD,AWSPRD,Account used for the AWS PRD AD Connector Service,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSPRD
atl copier,atlcopier,,BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/atl copier
Resumes wr,resumes.wr,Shared mailbox for resumes in Civils Southwest,BBC.Local/BalfourBeattyUS/Civils/Western/Shared Mailboxes/Resumes wr
Estimating.wr,estimating1,Account for receiving bid info (formerly Estimating User 1),BBC.Local/BalfourBeattyUS/Civils/Western/Shared Mailboxes/Estimating.wr
"Scanuser, SEA",SEAscanuser,,"BBC.Local/BalfourBeattyUS/HSW/Regions/Generic Accounts/Scanuser, SEA"
"Digi Docs, Lot 5",lot5digidocs,Lot 5 Station Place DigiDocs viewer,"BBC.Local/BalfourBeattyUS/HSW/Service Accounts/Digi Docs, Lot 5"
scan user,scanuser,Service Account,BBC.Local/BalfourBeattyUS/HSW/Regions/Generic Accounts/scan user
Sanbackup,sanbackup,,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/Sanbackup
WestScanUser,Westscanuser,Printer Account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/WestScanUser
Estimating,estimating,,BBC.Local/BalfourBeattyUS/Civils/Southwest/Shared Mailboxes/Estimating
ASPNET,ASPNET,Account used for running the ASP.NET worker process (aspnet_wp.exe),BBC.Local/Users/ASPNET
AWSCONNECTORSVC,AWSCONNECTORSVC,,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSCONNECTORSVC
svc-sophosadsync,svc-sophosadsync,Used for Sophos AD sync agent installed on DCVICO01,BBC.Local/Datacenter/Service Accounts/svc-sophosadsync
duoproxy,duoproxy,,BBC.Local/Datacenter/Service Accounts/duoproxy
svc-evolve,svc-evolve,Used to run the Evolve service for Playbook,BBC.Local/Datacenter/Service Accounts/svc-evolve
"Admin, Viewpoint",vpadmin,,"BBC.Local/BalfourBeattyUS/HSW/Service Accounts/Admin, Viewpoint"
BMC Helix,BMC,SCCM Integration to Remedy (for assets) Account has to be enabled,BBC.Local/BalfourBeattyUS/BBC Groups/BMC Helix
CasewiseEvolve,CasewiseEvolve,,BBC.Local/BalfourBeattyUS/DFW/DFW Groups/CasewiseEvolve
Video Conferencing Dallas CityMark,VideoConfDallasCityM,Dallas Citymark Video Conferencing,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Dallas CityMark
Video Conferencing Houston,VideoConfHouston,Houston Video Conferencing,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Houston
Video Conferencing Barnhart Mobile,VCBarnhartMobile,Equipment Mailbox,BBC.Local/BalfourBeattyUS/Barnhart/Users/Service Accounts/Video Conferencing Barnhart Mobile
Video Conferencing Seattle,VideoConfSeattle,Seattle Video Conferencing,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Video Conferencing Seattle
Azure Alerts,AzureAlerts,IT notification account - requires a license.,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Communication Mailboxes/Azure Alerts
RA4 Deschutes - Large Conference room,Deschutes,RA4 Deschutes - Large Conference room,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/RA4 Deschutes - Large Conference room
RA4 Rogue - Small Conference Room,rogue,RA4 Rogue - Small Conference Room,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/RA4 Rogue - Small Conference Room
RA4 Nehalem - Medium Conference room,nehalem,RA4  Nehalem - Medium Conference room,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/RA4 Nehalem - Medium Conference room
PDX Large Conference,pdxlgconf,PDX Large Conference,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/PDX Large Conference
SFO Small Conference,sfosmconf,,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/SFO Small Conference
SFO Conference,sfoconf,Windows user account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/SFO Conference
DFWConcreteScanner,DFWConcreteScanner,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/DFWConcreteScanner
EgnyteDAL2,EgnyteDAL2,nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteDAL2
EgnyteDAL3,EgnyteDAL3,nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteDAL3
EgnyteDAL4,EgnyteDAL4,Nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteDAL4
EgnyteAUS1,EgnyteAUS1,nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnyteAUS1
EgnytePLA1,EgnytePLA1,nas admin account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/EgnytePLA1
Seabid,Seabid,Licensed account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/Seabid
